name,price,category,tags
Deluxe Glass Bag,405.17,fashion,"sale,limited,trending"
Golden Widget,477.25,sport,"trending,eco-friendly"
Deluxe Shoe,147.48,sport,"popular,eco-friendly,limited"
Golden Shoe Limited,275.77,sport,new
Premium Wooden Widget,139.12,sport,eco-friendly
Super Shoe,252.11,electronics,trending
Ultra Chair,96.86,fashion,trending
Eco Cotton Lamp 2025,289.28,furniture,"new,sale"
Golden Phone Pro,148.77,electronics,new
Smart Plastic Bottle,421.16,kitchen,"popular,eco-friendly,trending"
Golden Chair Pro,342.10,furniture,"handmade,popular,new"
Deluxe Bottle Pro,101.61,fashion,"new,sale"
Super Lamp,64.71,fashion,"limited,popular,trending"
Deluxe Chair,79.86,kitchen,"handmade,popular,sale"
Eco Widget Limited,489.14,toys,sale
Ultra Leather Lamp,145.29,kitchen,"eco-friendly,sale"
Classic Metal Widget,360.61,electronics,"new,limited,eco-friendly"
Super Steel Phone,389.94,toys,limited
Eco Metal Lamp Max,477.58,sport,"new,limited"
Super Phone X,389.31,sport,"handmade,limited"
Super Table,407.39,sport,"limited,eco-friendly"
Classic Steel Bottle Pro,407.20,kitchen,"sale,eco-friendly,trending"
Smart Metal Lamp,335.69,electronics,"handmade,limited,new"
Smart Metal Widget,142.27,sport,"limited,sale"
Eco Leather Widget,115.04,kitchen,eco-friendly
Super Bag 2025,316.83,kitchen,"sale,new,eco-friendly"
Golden Phone,125.97,sport,"trending,eco-friendly,sale"
Super Leather Shoe Edition,96.36,kitchen,"handmade,new"
Super Chair Edition,98.70,sport,"eco-friendly,new"
Golden Cotton Phone,327.46,kitchen,"popular,eco-friendly,sale"
Eco Steel Table 2025,409.29,fashion,trending
Premium Table 2025,154.45,sport,"limited,eco-friendly"
Classic Table,488.13,toys,limited
Premium Plastic Table,125.69,sport,"trending,new,eco-friendly"
Ultra Glass Bag,468.06,electronics,"sale,new,limited"
Premium Leather Shoe Limited,344.10,kitchen,"sale,popular"
Classic Bottle Limited,214.73,electronics,new
Golden Bottle,196.93,sport,eco-friendly
Ultra Metal Chair,446.62,kitchen,"eco-friendly,trending,limited"
Deluxe Silk Table,298.59,toys,"eco-friendly,handmade"
Super Metal Shoe,109.45,toys,"sale,eco-friendly,limited"
Classic Chair Limited,111.19,furniture,"limited,popular"
Golden Glass Table X,437.16,kitchen,"new,popular"
Golden Plastic Widget,218.42,kitchen,new
Smart Widget 2025,321.62,sport,"eco-friendly,limited"
Deluxe Metal Bottle,196.87,toys,"eco-friendly,limited"
Ultra Widget,396.22,toys,"trending,sale"
Deluxe Chair Pro,266.67,sport,"limited,sale,popular"
Golden Plastic Chair,89.76,electronics,"trending,sale,popular"
Premium Table Edition,340.19,kitchen,handmade
Smart Metal Chair,95.68,fashion,"new,sale,handmade"
Eco Bottle,420.83,electronics,"eco-friendly,sale"
Ultra Glass Shoe,463.27,toys,"limited,handmade"
Premium Leather Phone,118.97,fashion,"new,limited,trending"
